[04/09/19 22:56:28] The dataset lastfm-lsii is already sessionized, preprocessing is done.
[04/09/19 22:57:33]    Algo      Fold      Prec      Rec        F1    
[04/09/19 23:09:40]   m2vTN       0      0.01112   0.01107   0.00913  
[05/09/19 07:22:18]   sm2vTN      0      0.08309   0.12584   0.08593  
[05/09/19 15:16:58]  csm2vTN      0      0.01219   0.01494   0.01114  
[06/09/19 01:07:39]  csm2vUK      0      0.08310   0.12584   0.08593  
[06/09/19 01:18:15]   m2vTN       1      0.01051   0.00915   0.00803  
[06/09/19 08:27:03]   sm2vTN      1      0.08386   0.12561   0.08602  
[06/09/19 15:30:34]  csm2vTN      1      0.01185   0.01343   0.01029  
[07/09/19 01:41:00]  csm2vUK      1      0.08386   0.12561   0.08602  
[07/09/19 01:53:32]   m2vTN       2      0.01039   0.00992   0.00828  
[07/09/19 09:03:39]   sm2vTN      2      0.08263   0.12424   0.08514  
[07/09/19 16:38:28]  csm2vTN      2      0.01198   0.01392   0.01063  
[08/09/19 02:23:54]  csm2vUK      2      0.08263   0.12424   0.08514  
[08/09/19 02:34:14]   m2vTN       3      0.01046   0.01017   0.00836  
[08/09/19 09:26:41]   sm2vTN      3      0.08113   0.12313   0.08391  
[08/09/19 17:35:02]  csm2vTN      3      0.01202   0.01431   0.01068  
[09/09/19 02:25:18]  csm2vUK      3      0.08114   0.12314   0.08391  
[09/09/19 02:35:08]   m2vTN       4      0.01049   0.00995   0.00831  
[09/09/19 08:19:47]   sm2vTN      4      0.08156   0.12475   0.08457  
