[04/09/19 22:56:53] The dataset xiami is already sessionized, preprocessing is done.
[04/09/19 22:57:21]    Algo      Fold      Prec      Rec        F1    
[04/09/19 23:06:16]   m2vTN       0      0.03482   0.01951   0.02044  
[05/09/19 05:23:32]   sm2vTN      0      0.10716   0.08855   0.07591  
[05/09/19 11:51:04]  csm2vTN      0      0.05905   0.04129   0.03914  
[05/09/19 19:16:15]  csm2vUK      0      0.10719   0.08859   0.07593  
[05/09/19 19:24:35]   m2vTN       1      0.02676   0.01714   0.01688  
[06/09/19 01:26:06]   sm2vTN      1      0.09985   0.09022   0.07394  
[06/09/19 07:39:16]  csm2vTN      1      0.05434   0.04250   0.03815  
[06/09/19 15:35:48]  csm2vUK      1      0.09946   0.08988   0.07368  
[06/09/19 15:44:16]   m2vTN       2      0.03100   0.01791   0.01809  
[06/09/19 21:50:58]   sm2vTN      2      0.10236   0.09391   0.07654  
[07/09/19 04:23:48]  csm2vTN      2      0.05824   0.04420   0.03984  
[07/09/19 12:16:15]  csm2vUK      2      0.10130   0.09335   0.07611  
[07/09/19 12:25:22]   m2vTN       3      0.03098   0.02021   0.01982  
[07/09/19 19:05:16]   sm2vTN      3      0.10183   0.09593   0.07847  
[08/09/19 01:26:37]  csm2vTN      3      0.06303   0.05085   0.04525  
[08/09/19 09:50:24]  csm2vUK      3      0.10168   0.09585   0.07839  
[08/09/19 09:59:41]   m2vTN       4      0.02285   0.01407   0.01391  
[08/09/19 16:19:20]   sm2vTN      4      0.10289   0.08849   0.07412  
[08/09/19 21:58:59]  csm2vTN      4      0.05027   0.03692   0.03366  
[09/09/19 04:26:24]  csm2vUK      4      0.10289   0.08848   0.07412  
